,Date,Open
642,"Jul 23, 2016",650.73
643,"Jul 22, 2016",664.92
644,"Jul 21, 2016",665.23
645,"Jul 20, 2016",672.81
646,"Jul 19, 2016",672.74
647,"Jul 18, 2016",679.81
648,"Jul 17, 2016",661.99
649,"Jul 16, 2016",663.78
650,"Jul 15, 2016",659.17
651,"Jul 14, 2016",652.92
652,"Jul 13, 2016",664.80
653,"Jul 12, 2016",648.28
654,"Jul 11, 2016",648.48
655,"Jul 10, 2016",650.60
656,"Jul 09, 2016",666.38
657,"Jul 08, 2016",640.69
658,"Jul 07, 2016",678.09
659,"Jul 06, 2016",670.42
660,"Jul 05, 2016",683.21
661,"Jul 04, 2016",658.80
662,"Jul 03, 2016",704.97
663,"Jul 02, 2016",676.73
664,"Jul 01, 2016",672.52
665,"Jun 30, 2016",640.59
666,"Jun 29, 2016",644.12
667,"Jun 28, 2016",658.10
668,"Jun 27, 2016",629.35
669,"Jun 26, 2016",665.93
670,"Jun 25, 2016",665.28
671,"Jun 24, 2016",625.58
672,"Jun 23, 2016",597.44
673,"Jun 22, 2016",665.92
674,"Jun 21, 2016",735.88
675,"Jun 20, 2016",763.93
676,"Jun 19, 2016",756.69
677,"Jun 18, 2016",748.76
678,"Jun 17, 2016",768.49
679,"Jun 16, 2016",696.52
680,"Jun 15, 2016",685.69
681,"Jun 14, 2016",704.50
682,"Jun 13, 2016",671.65
683,"Jun 12, 2016",609.68
684,"Jun 11, 2016",578.67
685,"Jun 10, 2016",575.84
686,"Jun 09, 2016",582.20
687,"Jun 08, 2016",577.17
688,"Jun 07, 2016",585.45
689,"Jun 06, 2016",574.60
690,"Jun 05, 2016",573.31
691,"Jun 04, 2016",569.71
692,"Jun 03, 2016",537.68
693,"Jun 02, 2016",536.52
694,"Jun 01, 2016",531.11
695,"May 31, 2016",534.19
696,"May 30, 2016",528.47
697,"May 29, 2016",527.48
698,"May 28, 2016",473.03
699,"May 27, 2016",453.52
700,"May 26, 2016",449.67
701,"May 25, 2016",446.06
702,"May 24, 2016",444.29
703,"May 23, 2016",439.35
704,"May 22, 2016",443.22
705,"May 21, 2016",442.97
706,"May 20, 2016",437.79
707,"May 19, 2016",454.52
708,"May 18, 2016",453.69
709,"May 17, 2016",454.01
710,"May 16, 2016",457.59
711,"May 15, 2016",455.76
712,"May 14, 2016",455.82
713,"May 13, 2016",454.85
714,"May 12, 2016",452.45
715,"May 11, 2016",450.86
716,"May 10, 2016",460.52
717,"May 09, 2016",458.21
718,"May 08, 2016",458.43
719,"May 07, 2016",459.64
720,"May 06, 2016",447.94
721,"May 05, 2016",446.71
722,"May 04, 2016",450.18
723,"May 03, 2016",444.73
724,"May 02, 2016",451.93
725,"May 01, 2016",448.48
726,"Apr 30, 2016",455.18
727,"Apr 29, 2016",449.41
728,"Apr 28, 2016",445.04
729,"Apr 27, 2016",466.26
730,"Apr 26, 2016",461.65
731,"Apr 25, 2016",459.12
732,"Apr 24, 2016",450.56
733,"Apr 23, 2016",445.86
734,"Apr 22, 2016",449.69
735,"Apr 21, 2016",441.42
736,"Apr 20, 2016",435.32
737,"Apr 19, 2016",428.70
738,"Apr 18, 2016",427.61
739,"Apr 17, 2016",430.64
740,"Apr 16, 2016",429.58
741,"Apr 15, 2016",424.43
742,"Apr 14, 2016",423.94
743,"Apr 13, 2016",425.63
744,"Apr 12, 2016",422.84
745,"Apr 11, 2016",421.87
746,"Apr 10, 2016",419.59
747,"Apr 09, 2016",420.81
748,"Apr 08, 2016",422.91
749,"Apr 07, 2016",423.62
